first_name,last_name,street,city,state,zipcode,day,month,year
Tedra,Walshaw,004 Ohio Junction,Greensboro,North Carolina,27409,20,10,2004
Honoria,Petrello,79164 Basil Park,Houston,Texas,77201,1,2,1999
Marita,Kildahl,537 Anderson Point,Raleigh,North Carolina,27635,13,3,1961
Kliment,Harring,03786 Sheridan Center,Durham,North Carolina,27710,26,6,2009
Morrie,Craister,89 Fairfield Center,Bethesda,Maryland,20816,17,11,1906
Reggi,Johanning,2419 Kings Plaza,Sunnyvale,California,94089,15,7,1970
Elisabet,Gowdridge,947 Schiller Pass,Washington,District of Columbia,20591,13,1,2007
Edith,Geraldi,1839 Sage Road,Los Angeles,California,90050,17,4,2007
Leon,Trownson,21 2nd Point,San Diego,California,92145,5,8,1965
Reggie,Jeggo,8473 Schlimgen Court,Birmingham,Alabama,35210,22,6,1908
Nana,Shortland,32632 Butternut Court,Lincoln,Nebraska,68531,14,6,1956
Matilda,Alger,1689 Badeau Lane,San Antonio,Texas,78225,27,12,1960
Mireielle,Cours,67 Glacier Hill Circle,Richmond,Virginia,23237,26,12,1913
Hortensia,Brockest,2 Weeping Birch Circle,Minneapolis,Minnesota,55480,14,12,1982
Leonidas,Treadgall,1 Northridge Junction,Tuscaloosa,Alabama,35405,10,11,2018
Hyacinth,Kitson,2 Hollow Ridge Trail,Washington,District of Columbia,20051,12,8,2001
Wadsworth,d' Eye,73 Talmadge Way,Washington,District of Columbia,20022,10,8,1914
Cahra,Ballantine,95810 Transport Place,Lexington,Kentucky,40524,12,5,1994
Isaac,Cosker,19067 Old Gate Park,Indianapolis,Indiana,46247,17,11,1963
Chariot,Cayley,635 Melrose Junction,Pittsburgh,Pennsylvania,15261,16,8,1929
Tessy,Fortman,31 Granby Crossing,San Francisco,California,94116,25,4,1931
Carlynne,Connow,1568 Dayton Terrace,Denver,Colorado,80223,19,2,1970
Hedvig,Sibyllina,3 Talmadge Court,Palatine,Illinois,60078,6,7,1995
Mahala,Walhedd,569 Bowman Way,Danbury,Connecticut,06816,7,7,1916
Alon,Gorvin,4760 Ridgeview Center,Hagerstown,Maryland,21747,17,6,1925
Vyky,D'Alesco,1783 Meadow Ridge Circle,Littleton,Colorado,80161,12,5,1909
Sammy,Scawton,229 Commercial Junction,Charlotte,North Carolina,28230,15,2,1981
Levy,Davenhill,182 Old Gate Circle,Minneapolis,Minnesota,55423,7,11,1908
Rica,Jean,93733 Caliangt Trail,Trenton,New Jersey,08638,5,12,1973
Freddie,Sircomb,23408 Reindahl Street,Springfield,Missouri,65898,6,7,1921
Caroline,Litel,00 Mandrake Drive,Lynchburg,Virginia,24515,4,11,1986
Malchy,Prantoni,5478 Gateway Road,Amarillo,Texas,79118,21,1,1909
Morten,Cay,14004 Nancy Center,Fort Worth,Texas,76110,2,1,1944
Sephira,Winkell,4584 Annamark Pass,Seattle,Washington,98121,3,9,1947
Timi,Kleis,179 Everett Drive,Denver,Colorado,80204,14,5,1995
Man,Crellim,47870 Mesta Court,Van Nuys,California,91406,26,5,1963
Danella,Hambleton,4 Declaration Terrace,Lancaster,California,93584,1,1,1903
Abra,Lovie,670 Wayridge Terrace,Austin,Texas,78783,9,4,1929
Twyla,Schoular,8 Petterle Street,Hattiesburg,Mississippi,39404,10,11,1911
Correy,Pitceathly,9 Crescent Oaks Street,Long Beach,California,90805,6,6,1912
Wilden,Le Lievre,8544 Judy Parkway,Buffalo,New York,14220,1,8,1930
Arney,Gosalvez,947 Del Mar Lane,El Paso,Texas,79940,14,4,1956
Steffie,Halm,2092 Thompson Trail,Apache Junction,Arizona,85219,18,12,1995
Donal,McGraith,81096 Longview Alley,Baltimore,Maryland,21229,21,6,1980
Ralina,Toner,09471 Arrowood Parkway,Los Angeles,California,90087,21,11,1925
Davidson,Fresson,656 Ridge Oak Trail,Houston,Texas,77035,12,3,2001
Marietta,Boatman,01566 Summit Trail,South Bend,Indiana,46620,26,8,1955
Jdavie,Buckham,1518 Pawling Court,Grand Rapids,Michigan,49505,20,12,1903
Northrop,Halgarth,45 Hoffman Crossing,Tucson,Arizona,85737,10,7,1967
Kassandra,Gerrie,50 Warbler Circle,New Orleans,Louisiana,70187,15,8,2008
Germana,Ferrillio,4 Hudson Plaza,Saint Louis,Missouri,63121,4,3,1975
Dall,Manton,63 Holy Cross Circle,Springfield,Illinois,62776,18,5,1947
Leontyne,Littrik,29 Roxbury Drive,Charlotte,North Carolina,28215,3,7,1986
Phoebe,Mapletoft,72 Nelson Avenue,Miami,Florida,33283,27,10,1958
Andreas,O'Riordan,547 Pine View Road,Las Vegas,Nevada,89178,14,1,1965
Billie,Milward,34895 Lotheville Parkway,Mansfield,Ohio,44905,28,11,1978
Wynne,Southall,4 Eastlawn Lane,San Bernardino,California,92424,27,9,1950
Olia,Lawey,47 Upham Drive,Plano,Texas,75074,14,8,1965
Ortensia,Lory,8565 Stang Center,Syracuse,New York,13205,18,12,2010
Langsdon,Parnham,28 Gale Circle,Los Angeles,California,90101,6,5,1939
Clayson,Fealey,5 Arizona Avenue,Rochester,New York,14604,4,1,1963
Caitrin,Jeandot,70 Reindahl Way,Las Vegas,Nevada,89120,9,7,1951
Warren,Syddie,641 Utah Center,Cincinnati,Ohio,45264,24,11,1939
Rancell,McCrann,1776 Kipling Alley,Charlotte,North Carolina,28284,9,2,1960
Wolfie,Trosdall,7428 Bay Avenue,Omaha,Nebraska,68110,3,10,1915
Rosalinda,Mariolle,1 Memorial Alley,Anniston,Alabama,36205,27,2,1981
Ilene,Jaulme,823 Chive Hill,Springfield,Illinois,62711,23,10,1912
Talbert,Metzel,48 Evergreen Way,Washington,District of Columbia,20231,16,4,1981
Ban,Headland,51 Sunfield Drive,Lexington,Kentucky,40505,28,5,1939
